Gender,acc,acq,acs,acu,ape,apf,api
Male,654.47114,598.85496,598.5434,602.74964,598.5434,621.13256,658.21002
Male,586.15826,562.63436,578.99208,601.58124,581.17308,588.96246,638.19134
Male,533.8137,515.43074,519.94858,505.30458,488.01214,524.77802,524.15486
Male,458.4904,436.68018,433.09706,469.70712,477.02912,487.46688,439.48434
Female,487.23322,489.72582,478.8207,465.73454,448.28636,478.19752,504.36984
Female,547.1335,549.15872,529.06214,569.25534,549.00296,570.19004,630.32404
Female,420.55614,373.04096,450.62316,428.34554,364.62844,414.01306,462.30722
Male,583.66568,609.5264,588.18352,602.82754,563.5691,590.52034,649.7196
Male,360.50008,407.23632,387.7629,406.76898,414.71412,396.48702,431.85074
Male,504.13616,489.64792,517.53388,550.24926,497.7489,519.71488,525.32324
Male,396.79858,393.21546,386.04924,387.91868,418.7646,385.58188,396.01962
Female,470.17448,432.6297,441.35378,448.67582,458.802,431.53918,436.21282
Female,557.88286,559.90806,554.14392,543.70618,500.08568,550.87244,563.80276
Male,373.1189,366.42002,378.25988,408.63842,353.33384,358.7864,405.67844
Male,353.17806,291.17466,319.83954,369.69154,319.0606,296.783,420.0109
Male,549.39244,562.01122,576.0321,530.54216,555.62392,562.63436,548.92508
Female,463.16404,455.84202,486.68796,464.25454,451.32418,516.44338,486.2206
Female,491.82894,480.61224,514.57392,521.42858,500.70882,533.58,576.10998
Female,470.0187,469.70712,422.5035,468.77238,440.1075,467.37034,477.34072
Female,381.21982,356.13806,407.08056,421.72458,407.08056,396.79858,353.33388
Male,396.487,423.90558,409.10578,461.76196,486.37638,430.1371,415.96044
Female,478.587,464.87772,449.61054,485.59744,482.32592,463.00826,515.04128
Male,451.16842,384.64714,384.024,367.97788,406.45738,413.46782,402.09534
Male,502.2667,496.34678,478.587,497.74888,528.75058,479.67752,499.7741
Male,470.48604,425.30768,375.14412,432.47392,417.3625,410.3521,425.77504
Female,361.66846,368.6789,328.32996,373.9757,375.84514,341.88346,322.09846
Female,482.01432,492.14052,419.23196,493.23106,477.80804,436.99174,463.7872
Male,410.81944,373.74202,349.43918,358.47486,392.7481,335.4183,381.68718
Male,484.1175,482.09222,469.94082,463.24194,483.33854,449.84422,577.74576
Female,486.53216,495.41208,467.5261,508.96558,481.85854,410.66368,442.60008
Male,504.29192,499.9299,392.59228,483.57218,487.4669,472.97866,495.72362
Male,449.06526,441.58748,484.11746,466.98082,451.24632,433.48652,473.6797
Female,391.19022,352.39914,276.99798,339.31298,329.49838,338.68982,331.05624
Female,408.32684,382.31034,393.05968,448.36424,416.42778,372.33994,388.54182
Female,419.7772,428.34552,386.1271,442.3664,398.27854,385.34818,435.66754
Female,400.77116,351.69806,375.68934,346.71288,374.44308,392.35864,397.81118
Male,484.7406,464.64404,429.28026,469.00606,448.13056,418.68672,510.60136
Female,522.2075,541.21358,505.69404,536.0726,553.365,492.2963,540.74622
Male,338.92352,342.19502,352.6328,374.91044,356.06014,348.58232,416.50568
Female,377.48094,367.19896,368.13368,401.00484,374.67674,340.0919,343.51924
Female,371.48308,295.45878,353.72334,340.63718,315.2438,303.55974,331.28994
Male,442.21062,417.44042,393.29334,465.11142,412.76678,462.15142,445.17056
Male,341.96138,306.13022,346.16762,367.19894,344.76554,333.86042,360.03272
Male,355.43698,378.80512,387.84076,422.26982,392.826,359.64324,418.9983
Female,591.53294,597.60864,526.56956,552.43028,615.36844,577.66784,572.83846
Female,319.29426,350.91916,362.759,364.62846,376.15672,362.759,396.56488
Female,513.24972,551.88504,522.597,539.11046,561.07648,538.4873,593.3245
Female,355.1254,387.68502,327.39522,396.87646,396.0975,384.25768,383.32294
Male,387.84078,342.81818,344.2203,381.76508,348.42654,350.91914,395.63016
Female,473.21236,491.1279,493.9321,482.24802,490.1932,506.0835,509.19926
Male,416.34988,355.12542,384.2577,388.15234,378.49352,368.8347,379.73982
